"0000020000 - לא ידוע","","","2711000","2711000","","2711000",""," "," "," "," "," "," "
"00000200 - לא ידוע","","","2711000","2711000","","2711000",""," "," "," "," "," "," "
"000002 - לא ידוע","","","2711000","2711000","","2711000",""," "," "," "," "," "," "
"0000030000 - לא ידוע","","","461332","461332","","461332",""," "," "," "," "," "," "
"00000300 - לא ידוע","","","461332","461332","","461332",""," "," "," "," "," "," "
"000003 - לא ידוע","","","461332","461332","","461332",""," "," "," "," "," "," "
"0000040000 - לא ידוע","","","657757","657757","","657757",""," "," "," "," "," "," "
"00000400 - לא ידוע","","","657757","657757","","657757",""," "," "," "," "," "," "
"000004 - לא ידוע","","","657757","657757","","657757",""," "," "," "," "," "," "
"0000050000 - לא ידוע","","","389587","389587","","389587",""," "," "," "," "," "," "
"00000500 - לא ידוע","","","389587","389587","","389587",""," "," "," "," "," "," "
"000005 - לא ידוע","","","389587","389587","","389587",""," "," "," "," "," "," "
"0000070000 - לא ידוע","","","753847","753847","","753847",""," "," "," "," "," "," "
"00000700 - לא ידוע","","","753847","753847","","753847",""," "," "," "," "," "," "
"000007 - לא ידוע","","","753847","753847","","753847",""," "," "," "," "," "," "
"0000110000 - לא ידוע","","","1329077","1329077","","1329077",""," "," "," "," "," "," "
"00001100 - מכס והיטל על היבוא","","","1329077","1329077","","1329077",""," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","","","1329077","1329077","","1329077",""," "," "," "," "," "," "
"0000120000 - לא ידוע","","","16104675","16104675","","16104675",""," "," "," "," "," "," "
"00001200 - לא ידוע","","","16104675","16104675","","16104675",""," "," "," "," "," "," "
"000012 - לא ידוע","","","16104675","16104675","","16104675",""," "," "," "," "," "," "
"0000130000 - לא ידוע","","","4771690","4771690","","4771690",""," "," "," "," "," "," "
"00001300 - לא ידוע","","","4771690","4771690","","4771690",""," "," "," "," "," "," "
"000013 - לא ידוע","","","4771690","4771690","","4771690",""," "," "," "," "," "," "
"0000150000 - לא ידוע","","","458000","458000","","458000",""," "," "," "," "," "," "
"00001500 - לא ידוע","","","458000","458000","","458000",""," "," "," "," "," "," "
"000015 - לא ידוע","","","458000","458000","","458000",""," "," "," "," "," "," "
"0000180000 - לא ידוע","","","2212822","2212822","","2212822",""," "," "," "," "," "," "
"00001800 - לא ידוע","","","2212822","2212822","","2212822",""," "," "," "," "," "," "
"000018 - לא ידוע","","","2212822","2212822","","2212822",""," "," "," "," "," "," "
"0000190000 - לא ידוע","","","223334","223334","","223334",""," "," "," "," "," "," "
"00001900 - לא ידוע","","","223334","223334","","223334",""," "," "," "," "," "," "
"000019 - לא ידוע","","","223334","223334","","223334",""," "," "," "," "," "," "
"0000200000 - לא ידוע","","","330803","330803","","330803",""," "," "," "," "," "," "
"00002000 - לא ידוע","","","330803","330803","","330803",""," "," "," "," "," "," "
"000020 - לא ידוע","","","330803","330803","","330803",""," "," "," "," "," "," "
"0000230000 - לא ידוע","","","-42","-42","","-42",""," "," "," "," "," "," "
"00002300 - לא ידוע","","","-42","-42","","-42",""," "," "," "," "," "," "
"000023 - לא ידוע","","","-42","-42","","-42",""," "," "," "," "," "," "
"0000240000 - לא ידוע","","","522847","522847","","522847",""," "," "," "," "," "," "
"00002400 - לא ידוע","","","522847","522847","","522847",""," "," "," "," "," "," "
"000024 - לא ידוע","","","522847","522847","","522847",""," "," "," "," "," "," "
"0000250000 - לא ידוע","","","562373","562373","","562373",""," "," "," "," "," "," "
"00002500 - אגרות ורשיונות אחרים","","","562373","562373","","562373",""," "," "," "," "," "," "
"000025 - אגרות ורשיונות אחרים","","","562373","562373","","562373",""," "," "," "," "," "," "
"0000270000 - לא ידוע","","","69992","69992","","69992",""," "," "," "," "," "," "
"00002700 - היטל יבוא שירותים","","","69992","69992","","69992",""," "," "," "," "," "," "
"000027 - היטל יבוא שירותים","","","69992","69992","","69992",""," "," "," "," "," "," "
"0000340500 - הכנסות המדינה","","","82720","82720","","82720",""," "," "," "," "," "," "
"0000340502 - הכנסות המדינה","","","305664","305664","","305664",""," "," "," "," "," "," "
"00003405 - הכנסות המדינה","","","388384","388384","","388384",""," "," "," "," "," "," "
"000034 - ריבית במט""ח","","","388384","388384","","388384",""," "," "," "," "," "," "
"0000350000 - גביית ריבית","","","15748","15748","","15748",""," "," "," "," "," "," "
"00003500 - גביית ריבית","","","15748","15748","","15748",""," "," "," "," "," "," "
"0000350100 - הכנסות המדינה","","","1465712","1465712","","1465712",""," "," "," "," "," "," "
"00003501 - הכנסות המדינה","","","1465712","1465712","","1465712",""," "," "," "," "," "," "
"0000350200 - הכנסות המדינה","","","16668","16668","","16668",""," "," "," "," "," "," "
"00003502 - הכנסות המדינה","","","16668","16668","","16668",""," "," "," "," "," "," "
"0000350501 - הכנסות המדינה","","","-147512","-147512","","-147512",""," "," "," "," "," "," "
"00003505 - הכנסות המדינה","","","-147512","-147512","","-147512",""," "," "," "," "," "," "
"0000351200 - הכנסות המדינה","","","68588","68588","","68588",""," "," "," "," "," "," "
"00003512 - הכנסות המדינה","","","68588","68588","","68588",""," "," "," "," "," "," "
"0000359800 - הכנסות המדינה","","","20143","20143","","20143",""," "," "," "," "," "," "
"00003598 - הכנסות המדינה","","","20143","20143","","20143",""," "," "," "," "," "," "
"000035 - גביית ריבית","","","1439348","1439348","","1439348",""," "," "," "," "," "," "
"0000380000 - ריבית מחברות ממשלתיות","","","2","2","","2",""," "," "," "," "," "," "
"00003800 - ריבית מחברות ממשלתיות","","","2","2","","2",""," "," "," "," "," "," "
"000038 - ריבית מחברות ממשלתיות","","","2","2","","2",""," "," "," "," "," "," "
"0000400501 - הכנסות המדינה","","","1187111","1187111","","1187111",""," "," "," "," "," "," "
"0000400502 - הכנסות המדינה","","","733721","733721","","733721",""," "," "," "," "," "," "
"00004005 - הכנסות המדינה","","","1920832","1920832","","1920832",""," "," "," "," "," "," "
"000040 - הכנסות המדינה","","","1920832","1920832","","1920832",""," "," "," "," "," "," "
"0000410000 - הכנסות המדינה","","","254988","254988","","254988",""," "," "," "," "," "," "
"00004100 - הכנסות המדינה","","","254988","254988","","254988",""," "," "," "," "," "," "
"000041 - הכנסות המדינה","","","254988","254988","","254988",""," "," "," "," "," "," "
"0000420505 - הכנסות המדינה","","","214","214","","214",""," "," "," "," "," "," "
"00004205 - הכנסות המדינה","","","214","214","","214",""," "," "," "," "," "," "
"0000428945 - הכנסות המדינה","","","7","7","","7",""," "," "," "," "," "," "
"00004289 - הכנסות המדינה","","","7","7","","7",""," "," "," "," "," "," "
"0000429513 - הכנסות המדינה","","","157","157","","157",""," "," "," "," "," "," "
"0000429551 - הכנסות המדינה","","","7","7","","7",""," "," "," "," "," "," "
"00004295 - הכנסות המדינה","","","164","164","","164",""," "," "," "," "," "," "
"0000429742 - הכנסות המדינה","","","7951","7951","","7951",""," "," "," "," "," "," "
"00004297 - הכנסות המדינה","","","7951","7951","","7951",""," "," "," "," "," "," "
"000042 - תמלוגים ממפעלים עסקיים","","","8336","8336","","8336",""," "," "," "," "," "," "
"0000430000 - לא ידוע","","","26350","26350","","26350",""," "," "," "," "," "," "
"00004300 - לא ידוע","","","26350","26350","","26350",""," "," "," "," "," "," "
