"0000010201 - מס הכנסה שכירים","34955000","34955000","48472413","13517413","138.700078125","13517413","138.700078125"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","34955000","34955000","48472413","13517413","138.700078125","13517413","138.700078125"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","19100000","19100000","27639043","8539043","144.700078125","8539043","144.700078125"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","9917000","9917000","","-9917000","0","-9917000","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","9328000","9328000","","-9328000","0","-9328000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","38345000","38345000","27639043","-10705957","72.1000390625","-10705957","72.1000390625"," "," "," "," "," "," "
"000001 - מס הכנסה","73300000","73300000","76111456","2811456","103.800078125","2811456","103.800078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","6050000","6050000","4666638","-1383362","77.1000390625","-1383362","77.1000390625"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","6050000","6050000","4666638","-1383362","77.1000390625","-1383362","77.1000390625"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","1400000","1400000","","-1400000","0","-1400000","0"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","1400000","1400000","","-1400000","0","-1400000","0"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","7450000","7450000","4666638","-2783362","62.6000390625","-2783362","62.6000390625"," "," "," "," "," "," "
"0000030101 - מס שבח","1300000","1300000","1081111","-218889","83.200078125","-218889","83.200078125"," "," "," "," "," "," "
"00000301 - מס שבח","1300000","1300000","1081111","-218889","83.200078125","-218889","83.200078125"," "," "," "," "," "," "
"000003 - מס שבח","1300000","1300000","1081111","-218889","83.200078125","-218889","83.200078125"," "," "," "," "," "," "
"0000040101 - מס רכישה","2500000","2500000","1701153","-798847","68","-798847","68"," "," "," "," "," "," "
"00000401 - מס רכישה","2500000","2500000","1701153","-798847","68","-798847","68"," "," "," "," "," "," "
"000004 - מס רכישה","2500000","2500000","1701153","-798847","68","-798847","68"," "," "," "," "," "," "
"0000050101 - מס רכוש","50000","50000","207473","157473","414.9003125","157473","414.9003125"," "," "," "," "," "," "
"00000501 - מס רכוש","50000","50000","207473","157473","414.9003125","157473","414.9003125"," "," "," "," "," "," "
"000005 - מס רכוש","50000","50000","207473","157473","414.9003125","157473","414.9003125"," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1700000","1700000","1208533","-491467","71.1000390625","-491467","71.1000390625"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1700000","1700000","1208533","-491467","71.1000390625","-491467","71.1000390625"," "," "," "," "," "," "
"000007 - מס מעסיקים","1700000","1700000","1208533","-491467","71.1000390625","-491467","71.1000390625"," "," "," "," "," "," "
"0000110101 - מכס והיטל על היבוא","1600000","1600000","1356570","-243430","84.800078125","-243430","84.800078125"," "," "," "," "," "," "
"00001101 - מכס והיטל על היבוא","1600000","1600000","1356570","-243430","84.800078125","-243430","84.800078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","1600000","1600000","1356570","-243430","84.800078125","-243430","84.800078125"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","9000000","9000000","8819357","-180643","98","-180643","98"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","9000000","9000000","8819357","-180643","98","-180643","98"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","800000","800000","384384","-415616","48","-415616","48"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","800000","800000","384384","-415616","48","-415616","48"," "," "," "," "," "," "
