"0000010201 - מס הכנסה שכירים","35650000","35650000","55993373","20343373","157.100078125","20343373","157.100078125"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","35650000","35650000","55993373","20343373","157.100078125","20343373","157.100078125"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","17240000","17240000","17666452","426452","102.5","426452","102.5"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","10310000","10310000","","-10310000","0","-10310000","0"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","9520000","9520000","","-9520000","0","-9520000","0"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","37070000","37070000","17666452","-19403548","47.7000390625","-19403548","47.7000390625"," "," "," "," "," "," "
"000001 - מס הכנסה","72720000","72720000","73659825","939825","101.300078125","939825","101.300078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","6310000","6310000","","-6310000","0","-6310000","0"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","6310000","6310000","","-6310000","0","-6310000","0"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","1740000","1740000","","-1740000","0","-1740000","0"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","1740000","1740000","","-1740000","0","-1740000","0"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","8050000","8050000","","-8050000","0","-8050000","0"," "," "," "," "," "," "
"0000030101 - מס שבח","1140000","1140000","860917","-279083","75.5","-279083","75.5"," "," "," "," "," "," "
"00000301 - מס שבח","1140000","1140000","860917","-279083","75.5","-279083","75.5"," "," "," "," "," "," "
"000003 - מס שבח","1140000","1140000","860917","-279083","75.5","-279083","75.5"," "," "," "," "," "," "
"0000040101 - מס רכישה","1400000","1400000","1401297","1297","100.100078125","1297","100.100078125"," "," "," "," "," "," "
"00000401 - מס רכישה","1400000","1400000","1401297","1297","100.100078125","1297","100.100078125"," "," "," "," "," "," "
"000004 - מס רכישה","1400000","1400000","1401297","1297","100.100078125","1297","100.100078125"," "," "," "," "," "," "
"0000050101 - מס רכוש","300000","300000","271214","-28786","90.400078125","-28786","90.400078125"," "," "," "," "," "," "
"00000501 - מס רכוש","300000","300000","271214","-28786","90.400078125","-28786","90.400078125"," "," "," "," "," "," "
"000005 - מס רכוש","300000","300000","271214","-28786","90.400078125","-28786","90.400078125"," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1690000","1690000","","-1690000","0","-1690000","0"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1690000","1690000","","-1690000","0","-1690000","0"," "," "," "," "," "," "
"000007 - מס מעסיקים","1690000","1690000","","-1690000","0","-1690000","0"," "," "," "," "," "," "
"0000110101 - מכס והיטל על היבוא","1440000","1440000","1398239","-41761","97.100078125","-41761","97.100078125"," "," "," "," "," "," "
"00001101 - מכס והיטל על היבוא","1440000","1440000","1398239","-41761","97.100078125","-41761","97.100078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבוא","1440000","1440000","1398239","-41761","97.100078125","-41761","97.100078125"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","9570000","9570000","8791465","-778535","91.900078125","-778535","91.900078125"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","9570000","9570000","8791465","-778535","91.900078125","-778535","91.900078125"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","450000","450000","371462","-78538","82.5","-78538","82.5"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","450000","450000","371462","-78538","82.5","-78538","82.5"," "," "," "," "," "," "
"000013 - מס קניה","10020000","10020000","9162927","-857073","91.400078125","-857073","91.400078125"," "," "," "," "," "," "
"0000140201 - מע""מ ייצור מקומי","47300000","47300000","21594705","-25705295","45.7000390625","-25705295","45.7000390625"," "," "," "," "," "," "
"0000140202 - מע""מ ייבוא אזרחי","","","22390748","22390748","","22390748",""," "," "," "," "," "," "
"0000140203 - מע""מ ייבוא בטחוני","1686349","1686349","1550000","-136349","91.900078125","-136349","91.900078125"," "," "," "," "," "," "
"00001402 - תקבולי מע""מ נטו","48986349","48986349","45535453","-3450896","93","-3450896","93"," "," "," "," "," "," "
"000014 - תקבולי מע""מ ברוטו","48986349","48986349","45535453","-3450896","93","-3450896","93"," "," "," "," "," "," "
"0000150101 - מס טבק - בלו","1150000","1150000","992134","-157866","86.300078125","-157866","86.300078125"," "," "," "," "," "," "
"00001501 - מס טבק - בלו","1150000","1150000","992134","-157866","86.300078125","-157866","86.300078125"," "," "," "," "," "," "
"000015 - מס טבק - בלו","1150000","1150000","992134","-157866","86.300078125","-157866","86.300078125"," "," "," "," "," "," "
"0000180101 - מס דלק","7310000","7310000","7285579","-24421","99.700078125","-24421","99.700078125"," "," "," "," "," "," "
