"0000010101 - מס הכנסה","51360000","51360000","51335823","-24177","100","-24177","100"," "," "," "," "," "," "
"00000101 - מס הכנסה","51360000","51360000","51335823","-24177","100","-24177","100"," "," "," "," "," "," "
"000001 - מס הכנסה","51360000","51360000","51335823","-24177","100","-24177","100"," "," "," "," "," "," "
"0000020101 - מע""מ על מלכרים ומוסדות","4390000","4390000","3218222","-1171778","73.3000390625","-1171778","73.3000390625"," "," "," "," "," "," "
"00000201 - מע""מ על מלכרים ומוסדות","4390000","4390000","3218222","-1171778","73.3000390625","-1171778","73.3000390625"," "," "," "," "," "," "
"000002 - מע""מ על מלכרים ומוסדות","4390000","4390000","3218222","-1171778","73.3000390625","-1171778","73.3000390625"," "," "," "," "," "," "
"0000030101 - מס שבח","1270000","1270000","939900","-330100","74","-330100","74"," "," "," "," "," "," "
"00000301 - מס שבח","1270000","1270000","939900","-330100","74","-330100","74"," "," "," "," "," "," "
"000003 - מס שבח","1270000","1270000","939900","-330100","74","-330100","74"," "," "," "," "," "," "
"0000040101 - מס רכישה","1850000","1850000","1406383","-443617","76","-443617","76"," "," "," "," "," "," "
"00000401 - מס רכישה","1850000","1850000","1406383","-443617","76","-443617","76"," "," "," "," "," "," "
"000004 - מס רכישה","1850000","1850000","1406383","-443617","76","-443617","76"," "," "," "," "," "," "
"0000050101 - מס רכוש","1040000","1040000","978497","-61503","94.100078125","-61503","94.100078125"," "," "," "," "," "," "
"00000501 - מס רכוש","1040000","1040000","978497","-61503","94.100078125","-61503","94.100078125"," "," "," "," "," "," "
"000005 - מס רכוש","1040000","1040000","978497","-61503","94.100078125","-61503","94.100078125"," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1390000","1390000","1401709","11709","100.800078125","11709","100.800078125"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1390000","1390000","1401709","11709","100.800078125","11709","100.800078125"," "," "," "," "," "," "
"000007 - מס מעסיקים","1390000","1390000","1401709","11709","100.800078125","11709","100.800078125"," "," "," "," "," "," "
"0000110101 - מכס והיטל יבוא","1200000","1200000","1160262","-39738","96.700078125","-39738","96.700078125"," "," "," "," "," "," "
"00001101 - מכס והיטל יבוא","1200000","1200000","1160262","-39738","96.700078125","-39738","96.700078125"," "," "," "," "," "," "
"000011 - מכס והיטל יבוא","1200000","1200000","1160262","-39738","96.700078125","-39738","96.700078125"," "," "," "," "," "," "
"0000120101 - מס ערך מוסף","33305000","33305000","40866118","7561118","122.700078125","7561118","122.700078125"," "," "," "," "," "," "
"00001201 - מס ערך מוסף","33305000","33305000","40866118","7561118","122.700078125","7561118","122.700078125"," "," "," "," "," "," "
"0000120202 - החזרי מע""מ","","","-10035883","-10035883","","-10035883",""," "," "," "," "," "," "
"00001202 - מע""מ יבוא אזרחי","0","0","-10035883","-10035883","","-10035883",""," "," "," "," "," "," "
"0000120301 - מע""מ יבוא בטחוני","0","0","819271","819271","","819271",""," "," "," "," "," "," "
"00001203 - מע""מ יבוא בטחוני","0","0","819271","819271","","819271",""," "," "," "," "," "," "
"000012 - מס ערך מוסף","33305000","33305000","31649506","-1655494","95","-1655494","95"," "," "," "," "," "," "
"0000130101 - מס קניה","8870000","8870000","","-8870000","0","-8870000","0"," "," "," "," "," "," "
"00001301 - מס קניה","8870000","8870000","","-8870000","0","-8870000","0"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","","","7147561","7147561","","7147561",""," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","","","7147561","7147561","","7147561",""," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","","","741545","741545","","741545",""," "," "," "," "," "," "
"00001303 - מס קניה מקומי","","","741545","741545","","741545",""," "," "," "," "," "," "
"000013 - מס קניה","8870000","8870000","7889105","-980895","88.900078125","-980895","88.900078125"," "," "," "," "," "," "
"0000150101 - בלו","940000","940000","847984","-92016","90.200078125","-92016","90.200078125"," "," "," "," "," "," "
"00001501 - בלו","940000","940000","847984","-92016","90.200078125","-92016","90.200078125"," "," "," "," "," "," "
"000015 - בלו","940000","940000","847984","-92016","90.200078125","-92016","90.200078125"," "," "," "," "," "," "
"0000180101 - מס דלק","5170000","5170000","4959249","-210751","95.900078125","-210751","95.900078125"," "," "," "," "," "," "
"00001801 - מס דלק","5170000","5170000","4959249","-210751","95.900078125","-210751","95.900078125"," "," "," "," "," "," "
"000018 - מס דלק","5170000","5170000","4959249","-210751","95.900078125","-210751","95.900078125"," "," "," "," "," "," "
"0000200101 - מס בולים","580000","580000","749138","169138","129.200078125","169138","129.200078125"," "," "," "," "," "," "
"00002001 - מס בולים","580000","580000","749138","169138","129.200078125","169138","129.200078125"," "," "," "," "," "," "
"000020 - מס בולים","580000","580000","749138","169138","129.200078125","169138","129.200078125"," "," "," "," "," "," "
"0000240101 - אגרות כלי רכב","1570000","1570000","1290240","-279760","82.200078125","-279760","82.200078125"," "," "," "," "," "," "
"00002401 - אגרות כלי רכב","1570000","1570000","1290240","-279760","82.200078125","-279760","82.200078125"," "," "," "," "," "," "
"000024 - אגרות כלי רכב","1570000","1570000","1290240","-279760","82.200078125","-279760","82.200078125"," "," "," "," "," "," "
"0000250101 - אגרות שונות","1270000","1270000","651685","-618315","51.3000390625","-618315","51.3000390625"," "," "," "," "," "," "
"00002501 - אגרות שונות","1270000","1270000","651685","-618315","51.3000390625","-618315","51.3000390625"," "," "," "," "," "," "
