"0000010101 - מס הכנסה","","","-1","-1","","-1",""," "," "," "," "," "," "
"00000101 - מס הכנסה","","","-1","-1","","-1",""," "," "," "," "," "," "
"0000010201 - מס הכנסה שכירים","28268000","28268000","29598346","1330346","104.700078125","1330346","104.700078125"," "," "," "," "," "," "
"00000102 - מס הכנסה שכירים","28268000","28268000","29598346","1330346","104.700078125","1330346","104.700078125"," "," "," "," "," "," "
"0000010301 - מס הכנסה חברות","14293000","14293000","11633641","-2659359","81.4000390625","-2659359","81.4000390625"," "," "," "," "," "," "
"0000010302 - מס הכנסה עצמאים","8904000","8904000","7477831","-1426169","84","-1426169","84"," "," "," "," "," "," "
"0000010303 - מס הכנסה מנהלי חברות","6680000","6680000","6600200","-79800","98.800078125","-79800","98.800078125"," "," "," "," "," "," "
"00000103 - מס הכנסה סקטור עסקי","29877000","29877000","25711672","-4165328","86.100078125","-4165328","86.100078125"," "," "," "," "," "," "
"000001 - מס הכנסה","58145000","58145000","55310017","-2834983","95.100078125","-2834983","95.100078125"," "," "," "," "," "," "
"0000020201 - מע""מ על מלכרים","3550000","3550000","3250396","-299604","91.600078125","-299604","91.600078125"," "," "," "," "," "," "
"00000202 - מע""מ על מלכרים","3550000","3550000","3250396","-299604","91.600078125","-299604","91.600078125"," "," "," "," "," "," "
"0000020301 - מע""מ על פיננסים","1130000","1130000","929703","-200297","82.300078125","-200297","82.300078125"," "," "," "," "," "," "
"00000203 - מע""מ על פיננסים","1130000","1130000","929703","-200297","82.300078125","-200297","82.300078125"," "," "," "," "," "," "
"000002 - מיסים על הוצאות שכר","4680000","4680000","4180099","-499901","89.300078125","-499901","89.300078125"," "," "," "," "," "," "
"0000030101 - מס שבח","1180000","1180000","898657","-281343","76.2000390625","-281343","76.2000390625"," "," "," "," "," "," "
"00000301 - מס שבח","1180000","1180000","898657","-281343","76.2000390625","-281343","76.2000390625"," "," "," "," "," "," "
"000003 - מס שבח","1180000","1180000","898657","-281343","76.2000390625","-281343","76.2000390625"," "," "," "," "," "," "
"0000040101 - מס רכישה","1350000","1350000","1349160","-840","99.900078125","-840","99.900078125"," "," "," "," "," "," "
"00000401 - מס רכישה","1350000","1350000","1349160","-840","99.900078125","-840","99.900078125"," "," "," "," "," "," "
"000004 - מס רכישה","1350000","1350000","1349160","-840","99.900078125","-840","99.900078125"," "," "," "," "," "," "
"0000050101 - מס רכוש","910000","910000","947934","37934","104.200078125","37934","104.200078125"," "," "," "," "," "," "
"00000501 - מס רכוש","910000","910000","947934","37934","104.200078125","37934","104.200078125"," "," "," "," "," "," "
"000005 - מס רכוש","910000","910000","947934","37934","104.200078125","37934","104.200078125"," "," "," "," "," "," "
"0000070101 - מס מעסיקים","1560000","1560000","1343450","-216550","86.100078125","-216550","86.100078125"," "," "," "," "," "," "
"00000701 - מס מעסיקים","1560000","1560000","1343450","-216550","86.100078125","-216550","86.100078125"," "," "," "," "," "," "
"000007 - מס מעסיקים","1560000","1560000","1343450","-216550","86.100078125","-216550","86.100078125"," "," "," "," "," "," "
"0000110101 - מכס","1310000","1310000","1171552","-138448","89.400078125","-138448","89.400078125"," "," "," "," "," "," "
"00001101 - מכס","1310000","1310000","1171552","-138448","89.400078125","-138448","89.400078125"," "," "," "," "," "," "
"000011 - מכס","1310000","1310000","1171552","-138448","89.400078125","-138448","89.400078125"," "," "," "," "," "," "
"0000130201 - מס קניה מוצרי יבוא","7570000","7570000","7315347","-254653","96.600078125","-254653","96.600078125"," "," "," "," "," "," "
"00001302 - מס קניה מוצרי יבוא","7570000","7570000","7315347","-254653","96.600078125","-254653","96.600078125"," "," "," "," "," "," "
"0000130301 - מס קניה מקומי","1280000","1280000","753532","-526468","58.9000390625","-526468","58.9000390625"," "," "," "," "," "," "
"00001303 - מס קניה מקומי","1280000","1280000","753532","-526468","58.9000390625","-526468","58.9000390625"," "," "," "," "," "," "
"000013 - מס קניה","8850000","8850000","8068880","-781120","91.200078125","-781120","91.200078125"," "," "," "," "," "," "
"0000140101 - החזרי מע""מ","","","-11650145","-11650145","","-11650145",""," "," "," "," "," "," "
"00001401 - החזרי מע""מ","","","-11650145","-11650145","","-11650145",""," "," "," "," "," "," "
"0000140201 - מע""מ ייצור מקומי","17465000","17465000","27835857","10370857","159.400078125","10370857","159.400078125"," "," "," "," "," "," "
"0000140202 - מע""מ ייבוא אזרחי","17465000","17465000","16948383","-516617","97","-516617","97"," "," "," "," "," "," "
"0000140203 - מע""מ ייבוא בטחוני","830000","830000","867985","37985","104.600078125","37985","104.600078125"," "," "," "," "," "," "
"00001402 - תקבולי מע""מ נטו","35760000","35760000","45652226","9892226","127.700078125","9892226","127.700078125"," "," "," "," "," "," "
"000014 - תקבולימע""מ ברוטו","35760000","35760000","34002081","-1757919","95.100078125","-1757919","95.100078125"," "," "," "," "," "," "
"0000150101 - מס טבק","950000","950000","939864","-10136","98.900078125","-10136","98.900078125"," "," "," "," "," "," "
"00001501 - מס טבק","950000","950000","939864","-10136","98.900078125","-10136","98.900078125"," "," "," "," "," "," "
"000015 - מס טבק","950000","950000","939864","-10136","98.900078125","-10136","98.900078125"," "," "," "," "," "," "
"0000180101 - מס דלק","","","5238106","5238106","","5238106",""," "," "," "," "," "," "
"0000180102 - מס על בנזין","5200000","5200000","","-5200000","0","-5200000","0"," "," "," "," "," "," "
"0000180103 - מס על סולר","420000","420000","","-420000","0","-420000","0"," "," "," "," "," "," "
"00001801 - מס דלק","5620000","5620000","5238106","-381894","93.200078125","-381894","93.200078125"," "," "," "," "," "," "
"000018 - מס דלק","5620000","5620000","5238106","-381894","93.200078125","-381894","93.200078125"," "," "," "," "," "," "
"0000200101 - מס בולים","860000","860000","781672","-78328","90.900078125","-78328","90.900078125"," "," "," "," "," "," "
"00002001 - מס בולים","860000","860000","781672","-78328","90.900078125","-78328","90.900078125"," "," "," "," "," "," "
"000020 - מס בולים","860000","860000","781672","-78328","90.900078125","-78328","90.900078125"," "," "," "," "," "," "
"0000240201 - אגרות כלי רכב פרטיים","1480000","1480000","1358683","-121317","91.800078125","-121317","91.800078125"," "," "," "," "," "," "
"00002402 - אגרות כלי רכב פרטיים","1480000","1480000","1358683","-121317","91.800078125","-121317","91.800078125"," "," "," "," "," "," "
"0000240301 - אגרות כלי רכב מסחריים","370000","370000","158697","-211303","42.9000390625","-211303","42.9000390625"," "," "," "," "," "," "
"00002403 - אגרות כלי רכב מסחריים","370000","370000","158697","-211303","42.9000390625","-211303","42.9000390625"," "," "," "," "," "," "
"000024 - אגרות כלי רכב","1850000","1850000","1517381","-332619","82","-332619","82"," "," "," "," "," "," "
"0000250101 - אגרות שונות","717400","717400","665013","-52387","92.700078125","-52387","92.700078125"," "," "," "," "," "," "
"00002501 - אגרות שונות","717400","717400","665013","-52387","92.700078125","-52387","92.700078125"," "," "," "," "," "," "
"0000250201 - אגרות בתי משפט","590000","590000","211913","-378087","35.90001953125","-378087","35.90001953125"," "," "," "," "," "," "
"00002502 - אגרות בתי משפט","590000","590000","211913","-378087","35.90001953125","-378087","35.90001953125"," "," "," "," "," "," "
"0000250301 - אגרות תדרים","120000","120000","113240","-6760","94.400078125","-6760","94.400078125"," "," "," "," "," "," "
"00002503 - אגרות תדרים","120000","120000","113240","-6760","94.400078125","-6760","94.400078125"," "," "," "," "," "," "
"0000250401 - אגרות רשיון לחברות בטוח","2600","2600","2671","71","102.700078125","71","102.700078125"," "," "," "," "," "," "
"00002504 - אגרות רשיון לחברות בטוח","2600","2600","2671","71","102.700078125","71","102.700078125"," "," "," "," "," "," "
"0000250501 - רשיון שנתי לבנקים","14000","14000","14854","854","106.100078125","854","106.100078125"," "," "," "," "," "," "
"00002505 - רשיון שנתי לבנקים","14000","14000","14854","854","106.100078125","854","106.100078125"," "," "," "," "," "," "
"0000250601 - אגרות לרישוי סוכני בטוח","6000","6000","5764","-236","96.100078125","-236","96.100078125"," "," "," "," "," "," "
"00002506 - אגרות לרישוי סוכני בטוח","6000","6000","5764","-236","96.100078125","-236","96.100078125"," "," "," "," "," "," "
"000025 - אגרות ורשיונות אחרים","1450000","1450000","1013456","-436544","69.9000390625","-436544","69.9000390625"," "," "," "," "," "," "
"0000340101 - ריבית במט""ח","","","177787","177787","","177787",""," "," "," "," "," "," "
"00003401 - ריבית במט""ח","","","177787","177787","","177787",""," "," "," "," "," "," "
"0000340201 - ריבית בגין כספי ערבויות","300000","300000","","-300000","0","-300000","0"," "," "," "," "," "," "
"00003402 - ריבית בגין כספי ערבויות","300000","300000","","-300000","0","-300000","0"," "," "," "," "," "," "
"0000340301 - ריבית בגין עסקאות במט""ח","130000","130000","158386","28386","121.800078125","28386","121.800078125"," "," "," "," "," "," "
"00003403 - ריבית בגין עסקאות במט""ח","130000","130000","158386","28386","121.800078125","28386","121.800078125"," "," "," "," "," "," "
"000034 - ריבית במט""ח","430000","430000","336172","-93828","78.2000390625","-93828","78.2000390625"," "," "," "," "," "," "
"0000350101 - גביית ריבית","","","3952","3952","","3952",""," "," "," "," "," "," "
"00003501 - גביית ריבית","","","3952","3952","","3952",""," "," "," "," "," "," "
"0000350201 - גביית ריבית ממשכנתאות","1100000","1100000","791475","-308525","72","-308525","72"," "," "," "," "," "," "
"0000350202 - גביית הצמדה לרבית-משכנת","100000","100000","356565","256565","356.6003125","256565","356.6003125"," "," "," "," "," "," "
"0000350203 - גביית ריבית- מח' הגבייה","1065000","1065000","754391","-310609","70.8000390625","-310609","70.8000390625"," "," "," "," "," "," "
"0000350204 - גביית הצמדה לריבית","120000","120000","562635","442635","468.9003125","442635","468.9003125"," "," "," "," "," "," "
"0000350205 - הוצאות עמלה לבנקים","365000","365000","0","-365000","0","-365000","0"," "," "," "," "," "," "
"00003502 - גביית ריבית מח' הגבייה","2750000","2750000","2465067","-284933","89.600078125","-284933","89.600078125"," "," "," "," "," "," "
"0000350301 - תקבולי ריבית שונים","","","7152","7152","","7152",""," "," "," "," "," "," "
"0000350302 - גביית ריבית על שטרי הון","","","10944","10944","","10944",""," "," "," "," "," "," "
"00003503 - תקבולי רבית מגורמים שונ","","","18096","18096","","18096",""," "," "," "," "," "," "
"000035 - גביית ריבית","2750000","2750000","2487115","-262885","90.400078125","-262885","90.400078125"," "," "," "," "," "," "
"0000390101 - ריווחי ב""י שמומשו","1600000","1600000","3890000","2290000","243.10015625","2290000","243.10015625"," "," "," "," "," "," "
"00003901 - ריווחי ב""י שמומשו","1600000","1600000","3890000","2290000","243.10015625","2290000","243.10015625"," "," "," "," "," "," "
"000039 - ריווחי ב""י שמומשו","1600000","1600000","3890000","2290000","243.10015625","2290000","243.10015625"," "," "," "," "," "," "
"0000400101 - ריבית מבנק ישראל","","","5077683","5077683","","5077683",""," "," "," "," "," "," "
"00004001 - ריבית מבנק ישראל","","","5077683","5077683","","5077683",""," "," "," "," "," "," "
"000040 - ריבית מבנק ישראל","","","5077683","5077683","","5077683",""," "," "," "," "," "," "
