"0000010000 - מס הכנסה","39730000","39730000","","-39730000","0","-39730000","0"," "," "," "," "," "," "
"00000100 - מס הכנסה","39730000","39730000","","-39730000","0","-39730000","0"," "," "," "," "," "," "
"000001 - מס הכנסה","39730000","39730000","","-39730000","0","-39730000","0"," "," "," "," "," "," "
"0000020000 - מס ערך מוסף על מלכרים","3990000","3990000","2785466","-1204534","69.8000390625","-1204534","69.8000390625"," "," "," "," "," "," "
"00000200 - מס ערך מוסף על מלכרים","3990000","3990000","2785466","-1204534","69.8000390625","-1204534","69.8000390625"," "," "," "," "," "," "
"000002 - מס ערך מוסף על מלכרים","3990000","3990000","2785466","-1204534","69.8000390625","-1204534","69.8000390625"," "," "," "," "," "," "
"0000030000 - מס שבח","1500000","1500000","1077559","-422441","71.8000390625","-422441","71.8000390625"," "," "," "," "," "," "
"00000300 - מס שבח","1500000","1500000","1077559","-422441","71.8000390625","-422441","71.8000390625"," "," "," "," "," "," "
"000003 - מס שבח","1500000","1500000","1077559","-422441","71.8000390625","-422441","71.8000390625"," "," "," "," "," "," "
"0000040000 - מס רכישה","1730000","1730000","1679665","-50335","97.100078125","-50335","97.100078125"," "," "," "," "," "," "
"00000400 - מס רכישה","1730000","1730000","1679665","-50335","97.100078125","-50335","97.100078125"," "," "," "," "," "," "
"000004 - מס רכישה","1730000","1730000","1679665","-50335","97.100078125","-50335","97.100078125"," "," "," "," "," "," "
"0000050000 - מס רכוש","870000","870000","779138","-90862","89.600078125","-90862","89.600078125"," "," "," "," "," "," "
"00000500 - מס רכוש","870000","870000","779138","-90862","89.600078125","-90862","89.600078125"," "," "," "," "," "," "
"000005 - מס רכוש","870000","870000","779138","-90862","89.600078125","-90862","89.600078125"," "," "," "," "," "," "
"0000070000 - מס מעסיקים","730000","730000","726500","-3500","99.5","-3500","99.5"," "," "," "," "," "," "
"00000700 - מס מעסיקים","730000","730000","726500","-3500","99.5","-3500","99.5"," "," "," "," "," "," "
"000007 - מס מעסיקים","730000","730000","726500","-3500","99.5","-3500","99.5"," "," "," "," "," "," "
"0000110000 - מכס והיטל על היבו`","780000","780000","969548","189548","124.300078125","189548","124.300078125"," "," "," "," "," "," "
"00001100 - מכס והיטל על היבו`","780000","780000","969548","189548","124.300078125","189548","124.300078125"," "," "," "," "," "," "
"000011 - מכס והיטל על היבו`","780000","780000","969548","189548","124.300078125","189548","124.300078125"," "," "," "," "," "," "
"0000120000 - מע""מ לל` יבו` בטחון","24450000","24450000","24676098","226098","100.900078125","226098","100.900078125"," "," "," "," "," "," "
"00001200 - מע""מ לל` יבו` בטחון","24450000","24450000","24676098","226098","100.900078125","226098","100.900078125"," "," "," "," "," "," "
"000012 - מע""מ לל` יבו` בטחון","24450000","24450000","24676098","226098","100.900078125","226098","100.900078125"," "," "," "," "," "," "
"0000130000 - מס קניה","7600000","7600000","7069491","-530509","93","-530509","93"," "," "," "," "," "," "
"00001300 - מס קניה","7600000","7600000","7069491","-530509","93","-530509","93"," "," "," "," "," "," "
"000013 - מס קניה","7600000","7600000","7069491","-530509","93","-530509","93"," "," "," "," "," "," "
"0000150000 - בלו","670000","670000","586436","-83564","87.5","-83564","87.5"," "," "," "," "," "," "
"00001500 - בלו","670000","670000","586436","-83564","87.5","-83564","87.5"," "," "," "," "," "," "
"000015 - בלו","670000","670000","586436","-83564","87.5","-83564","87.5"," "," "," "," "," "," "
"0000180000 - מס דלק","3020000","3020000","3109779","89779","103","89779","103"," "," "," "," "," "," "
"00001800 - מס דלק","3020000","3020000","3109779","89779","103","89779","103"," "," "," "," "," "," "
"000018 - מס דלק","3020000","3020000","3109779","89779","103","89779","103"," "," "," "," "," "," "
"0000200000 - מס בולים","580000","580000","499958","-80042","86.200078125","-80042","86.200078125"," "," "," "," "," "," "
"00002000 - מס בולים","580000","580000","499958","-80042","86.200078125","-80042","86.200078125"," "," "," "," "," "," "
"000020 - מס בולים","580000","580000","499958","-80042","86.200078125","-80042","86.200078125"," "," "," "," "," "," "
"0000240000 - גרות כלי רכב","940000","940000","931524","-8476","99.100078125","-8476","99.100078125"," "," "," "," "," "," "
"00002400 - `גרות כלי רכב","940000","940000","931524","-8476","99.100078125","-8476","99.100078125"," "," "," "," "," "," "
"000024 - `גרות כלי רכב","940000","940000","931524","-8476","99.100078125","-8476","99.100078125"," "," "," "," "," "," "
"0000250000 - גרות ורשיונות `חרים","910000","910000","801477","-108523","88.100078125","-108523","88.100078125"," "," "," "," "," "," "
"00002500 - `גרות ורשיונות `חרים","910000","910000","801477","-108523","88.100078125","-108523","88.100078125"," "," "," "," "," "," "
"0000250507 - לא ידוע (ביצוע הנ""ח)","","","1978","1978","","1978",""," "," "," "," "," "," "
"0000250508 - לא ידוע (ביצוע הנ""ח)","","","5909","5909","","5909",""," "," "," "," "," "," "
"0000250509 - לא ידוע (ביצוע הנ""ח)","","","9909","9909","","9909",""," "," "," "," "," "," "
"00002505 - לא ידוע","","","17796","17796","","17796",""," "," "," "," "," "," "
"000025 - `גרות ורשיונות `חרים","910000","910000","819273","-90727","90","-90727","90"," "," "," "," "," "," "
"0000280000 - הפחתות מסים שטרם נקבעו","-400000","-400000","","400000","0","400000","0"," "," "," "," "," "," "
"00002800 - הפחתות מסים שטרם נקבעו","-400000","-400000","","400000","0","400000","0"," "," "," "," "," "," "
"000028 - הפחתות מסים שטרם נקבעו","-400000","-400000","","400000","0","400000","0"," "," "," "," "," "," "
"0000340000 - ריבית במט""ח","220000","220000","84022","-135978","38.20001953125","-135978","38.20001953125"," "," "," "," "," "," "
"00003400 - ריבית במט""ח","220000","220000","84022","-135978","38.20001953125","-135978","38.20001953125"," "," "," "," "," "," "
"0000340500 - לא ידוע (ביצוע הנ""ח)","","","856989","856989","","856989",""," "," "," "," "," "," "
"00003405 - לא ידוע","","","856989","856989","","856989",""," "," "," "," "," "," "
"000034 - ריבית במט""ח","220000","220000","941011","721011","427.7003125","721011","427.7003125"," "," "," "," "," "," "
"0000350000 - גביית ריבית","1860000","1860000","11118","-1848882","0.600000305175781","-1848882","0.600000305175781"," "," "," "," "," "," "
"00003500 - גביית ריבית","1860000","1860000","11118","-1848882","0.600000305175781","-1848882","0.600000305175781"," "," "," "," "," "," "
"0000350100 - לא ידוע (ביצוע הנ""ח)","","","1907092","1907092","","1907092",""," "," "," "," "," "," "
