"0000010000 - מס הכנסה","25380000","25380000","","-25380000","0","-25380000","0"," "," "," "," "," "," "
"00000100 - מס הכנסה","25380000","25380000","","-25380000","0","-25380000","0"," "," "," "," "," "," "
"000001 - מס הכנסה","25380000","25380000","","-25380000","0","-25380000","0"," "," "," "," "," "," "
"0000020000 - מס ערך מוסף על מלכרים","2580000","2580000","2011439","-568561","78","-568561","78"," "," "," "," "," "," "
"00000200 - מס ערך מוסף על מלכרים","2580000","2580000","2011439","-568561","78","-568561","78"," "," "," "," "," "," "
"000002 - מס ערך מוסף על מלכרים","2580000","2580000","2011439","-568561","78","-568561","78"," "," "," "," "," "," "
"0000030000 - מס שבח","430000","430000","429500","-500","99.900078125","-500","99.900078125"," "," "," "," "," "," "
"00000300 - מס שבח","430000","430000","429500","-500","99.900078125","-500","99.900078125"," "," "," "," "," "," "
"000003 - מס שבח","430000","430000","429500","-500","99.900078125","-500","99.900078125"," "," "," "," "," "," "
"0000040000 - מס רכישה","800000","800000","797709","-2291","99.700078125","-2291","99.700078125"," "," "," "," "," "," "
"00000400 - מס רכישה","800000","800000","797709","-2291","99.700078125","-2291","99.700078125"," "," "," "," "," "," "
"000004 - מס רכישה","800000","800000","797709","-2291","99.700078125","-2291","99.700078125"," "," "," "," "," "," "
"0000050000 - מס רכוש","460000","460000","443527","-16473","96.400078125","-16473","96.400078125"," "," "," "," "," "," "
"00000500 - מס רכוש","460000","460000","443527","-16473","96.400078125","-16473","96.400078125"," "," "," "," "," "," "
"000005 - מס רכוש","460000","460000","443527","-16473","96.400078125","-16473","96.400078125"," "," "," "," "," "," "
"0000070000 - מס מעסיקים","380000","380000","517304","137304","136.100078125","137304","136.100078125"," "," "," "," "," "," "
"00000700 - מס מעסיקים","380000","380000","517304","137304","136.100078125","137304","136.100078125"," "," "," "," "," "," "
"000007 - מס מעסיקים","380000","380000","517304","137304","136.100078125","137304","136.100078125"," "," "," "," "," "," "
"0000110000 - מכס והיטל על היבוא","1840000","1840000","1150529","-689471","62.5","-689471","62.5"," "," "," "," "," "," "
"00001100 - מכס והיטל על היבוא","1840000","1840000","1150529","-689471","62.5","-689471","62.5"," "," "," "," "," "," "
