שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2005,01,001,הפחתה 2.9,2,קיצוץ לרזרבה,2,אישור ועדה,9000,010201,רזרבות,-210,0,0,0,0
2005,01,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010104,לשכת הנשיא לשעבר נבון,10,0,0,0,0
2005,01,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010106,לשכת הנשיא לשעבר ויצמן,36,0,0,0,0
2005,01,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,385,0,0,0,0
2005,01,002,עודפים מחוייבים,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",181,0,0,0,0
2005,01,003,עודפים מותנים,5,עודפים,3,הודעה לועדה,0,010109,אמרכלות,232,0,0,0,0
2005,01,003,עודפים מותנים,5,עודפים,3,הודעה לועדה,0,010110,"טיסות לחו""ל",23,0,0,0,0
2005,01,004,"נסיעות לחו""ל",9,מרזרבה כללית,2,אישור ועדה,137,010101,נשיא,0,0,0,0,0
2005,01,004,"נסיעות לחו""ל",9,מרזרבה כללית,2,אישור ועדה,137,010109,אמרכלות,493,0,0,0,0
2005,01,004,"נסיעות לחו""ל",9,מרזרבה כללית,2,אישור ועדה,137,010110,"טיסות לחו""ל",2100,0,0,0,0
2005,01,004,"נסיעות לחו""ל",9,מרזרבה כללית,2,אישור ועדה,137,470101,רזרבה כללית,-2593,0,0,0,0
2005,01,005,אבטחה ותפעול,9,מרזרבה כללית,2,אישור ועדה,333,010101,נשיא,-142,0,0,0,0
2005,01,005,אבטחה ותפעול,9,מרזרבה כללית,2,אישור ועדה,333,010102,לשכת הנשיא,100,0,0,0,0
2005,01,005,אבטחה ותפעול,9,מרזרבה כללית,2,אישור ועדה,333,010104,לשכת הנשיא לשעבר נבון,-40,0,0,0,0
2005,01,005,אבטחה ותפעול,9,מרזרבה כללית,2,אישור ועדה,333,010106,לשכת הנשיא לשעבר ויצמן,-25,0,0,0,0
2005,01,005,אבטחה ותפעול,9,מרזרבה כללית,2,אישור ועדה,333,010109,אמרכלות,1150,0,0,0,0
2005,01,005,אבטחה ותפעול,9,מרזרבה כללית,2,אישור ועדה,333,470101,רזרבה כללית,-1043,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010102,לשכת הנשיא,150,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010103,לשכת הנשיא לשעבר קציר,-40,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010104,לשכת הנשיא לשעבר נבון,-35,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010105,לשכת אשת הנשיא לשעבר,-13,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010106,לשכת הנשיא לשעבר ויצמן,-104,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010109,אמרכלות,42,0,0,0,0
2005,01,006,פנימי,6,הגדלה רגילה,2,אישור ועדה,513,010110,"טיסות לחו""ל",0,5,-5,0,0
2005,01,007,העברה ל03,8,לרזרבה כללית,2,אישור ועדה,703,010201,רזרבות,-380,0,0,0,0
2005,01,007,העברה ל03,8,לרזרבה כללית,2,אישור ועדה,703,470101,רזרבה כללית,380,0,0,0,0
2005,02,001,שינויים,7,שינוי פנימי,1,אישור אגף,0,020501,תוספת מבנה,0,0,0,0,0
2005,02,002,עודפים,5,עודפים,3,הודעה לועדה,0,020301,שירותים מקצועיים,"2,330",0,0,0,0
