שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706713,תקן מוסדות ציבור עבור,0,0,0,96,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706721,פינוי בינוי והתחדשות,0,0,0,454,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706903,שיקום שכונות והשלמת,0,0,0,"36,100",0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706905,השתתפות במימון הקמת,0,0,0,"25,500",0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706906,פינויים ופדיון זכויות,0,0,0,"5,000",0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706908,"חידוש, אחזקה, והרחבת",0,0,0,27000,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706909,בנייה כפרית,0,0,0,1000,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706910,פיתוח מערכות מידע,0,0,0,0,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706911,פעולות שונות,0,0,0,"7,930",0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706926,מבצע מכירת דירות הדיור,0,0,0,"23,573",0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706929,תוכנית לחיזוק הצפון,0,0,0,250,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,706930,האפוטרופוס הכללי,0,0,0,"2,933",0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,707002,מודיעין,0,0,0,47155,0
2007,70,041,פיס+מכר+ עודפי הרשאה,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,341,707003,אלעד,0,0,0,"11,483",0
