שנה ראשונה,מספר סעיף,שם הסעיף,הוצאה ברוטו,"מספרי סעיפים בשנה הקודמת, מופרדים בפסיקים",לינק לסעיף,לינק לסעיף אב משנה קודמת,הערות מועתקות
1993,C0000,הכנסות המדינה,100817821,,link,link,
1995,C0046,חוק חיילים משוחררים,318250,,link,link,
1996,C0017,תאום הפעולות בשטחים,595864,,link,link,
1996,C0098,הוצאות מינהל מקרקעי    ישראל,4541814,,link,link,
1997,C0054,רשויות פיקוח,33583,,link,link,
1998,C0094,בתי חולים ממשלתים,3686492,,link,link,
1999,C0012,גמלאות ופיצויים,4064731,,link,link,
2004,C0036,משרד התעשייה המסחר,3421932,,link,link,
2007,C0026,המשרד להגנת הסביבה,930178,,link,link,
2007,C0068,היחידה לעניין העובדים,122848,,link,link,
2014,C0019,"משרד המדע והחלל, התרבות",2303789,,link,link,
2014,C0023,משרד הרווחה והשירותים  החברתיים,13001542,,link,link,
2014,C0034,משרד האנרגיה והמים,475068,,link,link,
2014,C0040,"משרד התחבורה, התשתיות  הלאומיות והבטיחות      בדרכים",996558,,link,link,
1993,C000001,מס הכנסה,25380000,,link,link,
1993,C000003,מס שבח,430000,,link,link,
1993,C000004,מס רכישה,800000,,link,link,
1993,C000013,מס קניה,5340000,,link,link,
1993,C000018,מס דלק,2550000,,link,link,
1993,C000025,אגרות ורשיונות אחרים,600000,,link,link,
1993,C000034,"ריבית במט""ח",205000,,link,link,
1993,C000035,גביית ריבית,1037000,,link,link,
1993,C000037,ריבית ממפעלים עסקיים,5200,,link,link,
1993,C000044,תמלוגים מחברות ממשלתיות,364000,,link,link,
1993,C000048,הכנסה מיועדת מעל האומדן,52000,,link,link,
1993,C000051,גביית קרן,2482320,,link,link,
1993,C000090,"מילוות המענקים מחו""ל",14051214,,link,link,
1993,C006002,תכנית פיתוח חינוך,803332,,link,link,
1994,C001104,הוצאות חד פעמיות,1500,,link,link,
1994,C006006,חידוש מבנים,85000,,link,link,
1994,C006704,הצטיידות,7937,,link,link,
1994,C006705,פרוייקט מיחשוב מרכזי,9519,,link,link,
1994,C007069,פעולות שוטפות,579849,,link,link,
1995,C000050,דמי שימוש בנכסים ממשלתי,125000,,link,link,
1995,C002420,חוק ביטוח בריאות ממלכתי,2119262,,link,link,
1995,C004601,חוק חיילים משוחררים,318250,,link,link,
1996,C001105,רזרבה,1480,,link,link,
1996,C001710,"מרת""ק",20286,,link,link,
1996,C001740,רזרבה אוצרית,9186,,link,link,
1996,C003703,המינהל לשיווק התיירות  לישראל,134308,,link,link,
1996,C008306,השקעות בחברות          בטחוניות ואחרות,682687,,link,link,
1997,C000043,תמלוגים מאוצרות טבע,70000,,link,link,
1997,C000045,דיוידנדים מחברות ממשלתי,800000,,link,link,
1997,C000046,"החזר ע""ח שנים קודמות",60000,,link,link,
1997,C000047,הכנסות שונות,550000,,link,link,
1997,C000049,העברה מחלק ב',17886573,,link,link,
1997,C000053,"גביית קרן במט""ח",100000,,link,link,
1997,C000075,הכנסות הון,4000000,,link,link,
1997,C000081,מלוה מהמוסד לבטוח לאומי,6871811,,link,link,
1997,C006004,רזרבה להתיקרויות,26162,,link,link,
1998,C000002,מיסים על הוצאות שכר,4680000,,link,link,
1998,C000011,מכס,1310000,,link,link,
1998,C000015,מס טבק,950000,,link,link,
1998,C009401,"מרכז רפואי ע""ש ד""ר     שיבא תל-השומר (139+    1189 מיטות) (+25       טרמינלי)",732800,,link,link,
1998,C009402,"בי""ח ע""ש רמב""ם חיפה    837+50",543000,,link,link,
1998,C009403,בית חולים נהריה        474+17 מיטות),308350,,link,link,
1998,C009404,"בי""ח ע""ש וולפסון       תל-גיבורים (595+30)",353020,,link,link,
1998,C009405,"בי""ח ע""ש אסף הרופא     צריפין (682+126)",384600,,link,link,
1998,C009406,"בית חולים ע""ש הלל יפה  חדרה (394+14 מיטות)",204540,,link,link,
1998,C009407,"מרכז רפואי ע""ש ברזילי  אשקלון (407+55)",216000,,link,link,
1998,C009408,"בי""ח חולים פוריה טבריה (210 מיטות)",109130,,link,link,
1998,C009409,"בית חולים ע""ש זיו צפת  (355+20 מיטות)",149800,,link,link,
1998,C009410,בית חולים עירוני       ממשלתי חיפה (365+16    מיטות),208240,,link,link,
1998,C009411,מרכז רפואי עירוני      ממשלתי תל-אביב - יפו   (952+96),612520,,link,link,
1998,C009474,"הכנסות בי""ח נהריה",6190,,link,link,
1998,C009477,"הכנסות מרכז רפואי ע""ש  ברזילי אשקלון",230,,link,link,
1999,C001203,"גמלאות ע""פ חוק גמלאות  לנושאי משרה",212558,,link,link,
1999,C001204,"גמלאות ע""פ החלטת ועדת  הכספים",776,,link,link,
1999,C009572,הכנסות נמל חדרה,864,,link,link,
2000,C000063,הכ. ממנהל מקרקעי ישראל,2508886,,link,link,
2000,C000205,תוספת מבנה,46133,C00020106,link,link,
2000,C009571,הכנסות נמל יפו,235,,link,link,
2000,C009873,הכנסות הון,1207407,,link,link,
2002,C008405,שירותים מרכזיים - מרכז ההשקעות,19376,,link,link,"אולי טעות בהקלדת מספר הסעיף? לפי באדגט.גוב, סעיף 0084 היה מאז 1992 תשלומי חובות וסעיף 008405 הוא מלוות פנים. גובה ההוצאה הרשומה בסעיף הזה גם כן לא תואם.
 גובה הוצאה דומה אך לא זהה, לסעיף בשם זה (שירותים מרכזיים מרכז ההשקעות) שמספרו 00360230 (משרד המסחר והתעשיה) אבל בשנת 2011. הסעיפים הרשומים מתחת לסעיף זה אכן שייכים למשרד המסחר והתעשייה - אולי כאן מקור הטעות?
 -hadas.eyal"
2002,C003604,עידוד סחר פנים         ושירותים לצרכן,4189,C003605,link,link,
2002,C003605,עידוד למחקר תעשייתי,7040,C003605,link,link,
2002,C008990,הכנסות לשכת הפרסום     הממשלתית,31142,,link,link,
2002,C009412,העברת הכנסות בתי חולים ממשלתיים למאגר הכנסות  מרכזיות,616548,,link,link,
2003,C000207,"שירותי משרד ליו""ר כנסת לשעבר",1769,-,link,link,"סעיף תקציבי חדש משנת 2003:
 הצעת חוק גמלאות לנושאי משרה ברשויות השלטון (תיקון - תקרת התקציב לשירותי משרד ולשירותי הסעה לנושא משרה שסיים את כהונתו ברשויות השלטון), התשס""ג-2003
 -hadas.eyal"
2003,C008989,הכנסות המדפיס,37399,,link,link,
2004,C002301,תחום פעולה כללי - רווחה,579029,C002301,link,link,
2004,C003623,תמיכה בפיתוח - עבודה,46297,-,link,link,"זהו סעיף תקציבי חדש בתקציב 2004:
 חוק המו""פ נכנס לתוקפו ב – 1 באפריל 2003.
 -hadas.eyal"
2005,C009482,השלמת הכנסות בתי חולים,735838,C009482,link,link,
2006,C001302,תחום התקשורת,64000,C001302,link,link,
2006,C004404,אשראי לענף המלונאות,13250,C004404,link,link,
2007,C000042,תמלוגים ממפעלים עסקיים,2355,,link,link,
2007,C000083,מלוות פנים,107250000,,link,link,
2007,C000084,מלוות חוץ,21102000,,link,link,
2007,C001212,הסדר קרנות הפנסיה,5200000,C0012100114 ,link,link,"ב- 2006 הסעיף 0012100114 נקרא
  'הסדר קרנות הפנסיה'. בשנת 2007 היה התקציב בסעיף זה 0 (אפס)
 
 בשנת 2007 הסעיף 001212 בעל השם הזהה 'הסדר קרנות הפנסיה' עבר שינוי. אמנם תחת סעיף-העל גמלאות ופיצויים, אבל תתי הסעיפים שונים.
 -hadas.eyal"
2007,C001213,תפעול מנהלת הגמלאות,36714,C0012,link,link,
2007,C002312,תמיכה בפיתוח,116615,C002312 ,link,link,
2007,C002419,העברות למוסדות,1270366,C002419,link,link,"מספר הסעיף נשאר כשהיה, אבל שמו שונה מ'העברות למוסדות רפואיים ציבוריים'.
 -hadas.eyal"
2007,C002431,עתודה להסכמי תקינה,14,C002431,link,link,
2007,C003420,רשות ממשלתית למים,393866,C003420,link,link,"מספר הסעיף נשאר זהה בין 2006 ל- 2007 אבל השם שלו השתנה וחלקו בתקציב משרד התשתיות גדול. ב- 2006 הוא נקרא נציבות המים וחלקו בתקציב במשרד היה 21%. 
 ב- 2007 הסעיף נקרא רשות ממשלתית למים וחלקו בתקציב היה 50%.
 -hadas.eyal"
2009,C003704,פעולות תכנון וכלכלה,16684,C003704,link,link,"מספר הסעיף נשאר זהה אבל שמו שונה: ב 2008 היה שם הסעיף 'פעולות תכנון, כלכלה וחונכות'.
 -hadas.eyal"
2009,C008307,מימון תוכניות הבראה    גופים במשבר,1060000,C008307,link,link,
2010,C000209,מוזיאון הכנסת,90000,-,link,link,"סעיף תקציבי חדש: הפעלתו של מוזיאון הכנסת מעוגנת בחוק מוזיאון הכנסת, התש""ע–2010.
 -hadas.eyal"
2010,C002309,רזרבה להתייקרויות,14444,C002309,link,link,
2010,C003709,אשראי לענף המלונאות,14352,C003709,link,link,
2011,C000007,מס מעסיקים,400000,,link,link,
2011,C000071,הפרשות לפנסיה-יח'משקיות,17822,C000071,link,link,
2011,C000204,רזרבה,34800,C000204,link,link,
2011,C001502,פינוי מוקשים,54000,-,link,link,"הרשות לפינוי מוקשים הוקמה ב2011 ולכן אין תקצוב קודם עבורה
 -Jonathan Leary"
2011,C002311,נוער צעירים ושירותי    תקון,926894,C002311,link,link,
2011,C002402,משרד ראשי,1273961,,link,link,"סעיף חדש, בשנת 2010 היה תחת סעיף 0024 (משרד הבריאות)
 -hadas.eyal"
2011,C002404,"יחידות מסונפות לבתיה""ח",164820,C002404,link,link,
2011,C002407,מינהל רפואה,5382713,"C00241604, C002413, C002430, C002410, C00240702",link,link,"החל מ-2011 מנהל הרפואה כלל סעיפים שהיו תחת תקציב משרד הבריאות לפני כן, תקציב המשרד כולו נשאר דומה וכן הפילוח"
2011,C002416,בריאות הציבור,1775457,,link,link,"הסעיף קיים גם לפני 2011, תחת אותו מספר אבל בשם שירותי בריאות הציבור"
2011,C009420,מאגר הכנסות מרכזיות,2,,link,link,"הסעיף קיים לפני 2011, נוצר נתק מכיוון שב2010 עמד על 0 ש""ח, 0%"
2011,C009876,הכנסות נכסי רשות       הפיתוח -               העברה ממשרד הבינוי     והשיכון,180,,link,link,
2012,C001503,היחידה לקליטת חיילים,26344,,link,link,"הסעיף הזה הופיע לראשונה ב-2012, תוקצב גם ב-2013 ונעלם ב-2014.
 שלושת תתי הסעיפים שלו תוקצבו בהתחלה ב-0 ואז התקציב גדל. מצאתי סעיפים עם אותם שמות (עד כדי איות שונה) תחת ""חוק חיילים משוחררים"" (סעיף 46), שתוקצבו בתחילת השנה ואז התקציב ירד ל-0. התקציבים כמעט זהים (שניים מתוך שלושה זהים לגמרי).
 http://budget.msh.gov.il/#004601,2012,0,1,1,1,0,0,0,0,0,0
 אז אני משער שהעבירו את התקציב למשרד הבטחון ב-2012. לא בדקתי עדיין אם הסיפור הזה חזר על עצמו גם ב-2013.
 -Yuval Ehrental
 מצאתי את ההעברות הרלוונטיות (הקובץ פה: http://data.gov.il/node/531). באותו יום ב-2012 העבירו מסעיף 46 לרזרבה ומשם לסעיף 15. שם ההעברה הוא ""העברה מסעיף 46 לסעיף 15"". :)
 -Yuval Ehrental
 לסיכום, אני לא בטוח למה הכי כדאי לקשר את זה - אולי להשוות לתתי-הסעיפים הרלוונטיים מסעיף 46 מהשנה הקודמת? אם עושים את זה, חייבים להוסיף הסבר.
 -Yuval Ehrental"
2012,C001540,פינוי מחנות,15000,,link,link,"תקציב הביטחון ולא מספרים לנו דבר :((((((
 -Gal Chen"
2013,C000452,משרדי ממשלה ולשכות שרים,510994,"C0004021957, C00040271, C00040277, C00040282, C00040283",link,link,
2013,C000460,מנהלת השירות האזרחי    -לאומי,283760,C00040114,link,link,"ב- 2013 תקציב מנהלת השירות האזרחי-לאומי מופיע תחת משרד ראש הממשלה למרות שלפי ויקיפדיה (המקום היחיד שבו מצאתי את המידע הזה) המנהלת הועברה בשנה זו ממשרד המדע והטכנולוגיה למשרד הכלכלה. לפי ויקיפדיה: מנהלת השירות הלאומי הוקמה בשנת 2007 במשרד הרווחה, הועברה ב- 2008 למשרד ראש הממשלה, הועברה ב- 2009 למשרד המדע והטכנולוגיה, הועברה ב- 2013 למשרד הכלכלה ומשם למשרד לאזרחים ותיקים. סעיף תקציבי בשם זה לא מופיע בשנת 2012 במשרד המדע והטכנולוגיה באתר budget.gov ולא נמצא בחיפוש חופשי בסעיפי התקציב.
 -hadas.eyal
 מצאתי את הסעיף הרלוונטי תחת משרד ראש הממשלה. מופיע שם מ-2008 עד 2012, ב-2013 עבר לסעיף אחר אבל עדיין תחת משרד ראש הממשלה. אכן לא ברור למה הסעיף לא תחת משרד המדע והטכנולוגיה בכל השנים הללו. ב-2014 התקציב כבר הועבר למשרד הכלכלה.
 -Yuval Ehrental
 שאפו יובל!
 -hadas.eyal
 זה היה ממש קל אחרי שחפרתי שעה באותו סעיף ב-2014...
 ר׳ C003660.
 -Yuval Ehrental"
2013,C000464,רשות הבדואים,59614,"C00290606, C00290818",link,link,"הרשות להסדרת התיישבות הבדואים בנגב עברה ממשרד הבינוי והשיכון למשרד ראש הממשלה. במשרד הבינוי והשיכון הסעיף מחולק בין שכר ופעולות.
 -Yuval Ehrental"
2013,C000551,משרד האוצר ראשי,1346675,"C000509, C000502, C000503, C000509, C000503, C000509, C000501",link,link,
2013,C000622,שירותי דת לעדות לא     יהודיות וליהודים קראים,233428,C000615,link,link,
2013,C000631,היחידה הארצית לפיקוח   על הבנייה,50830,C000609,link,link,
2013,C000760,כבאות והצלה,1997486,-,link,link,"הרשות לכבאות והצלה נוסדה ב2013, עד אז שירותי הכבאות תוקצבו מתוך הרשויות המקומיות
 -Jonathan Leary"
2013,C000780,משטרת ישראל,18239808,"C00071501, C000702",link,link,
2013,C000851,משרד ראשי,3194468,"C000851, C000802",link,link,
2013,C000852,בתי דין באחריות משרד   המשפטים,41932,C000807,link,link,
2013,C001410,מימון מפלגות,375278,C001401,link,link,
2013,C001613,מיגון אוכלוסיה -סופת,501480,C001602,link,link,
2013,C001617,עורף לאומי,399386,C001608,link,link,
2013,C002423,חוק הנכים,2964,C002423,link,link,"הסעיף קיים תחת שם זה מאז 2004, אך תקציבו עמד על 0 ש""ח
 -Jonathan Leary"
2013,C002430,רזרבה להתיקרויות,8000,C002430,link,link,
2013,C002613,קרנות,1822424,"C002606, C002605, C00260331, C002697",link,link,
2013,C003250,תמיכות בחקלאות,2104549,C003202,link,link,
2013,C003302,מנהל המחקר החקלאי,674846,C003324,link,link,
2013,C003630,שכר ותפעול,1274663,C003601,link,link,
2013,C003640,"רגולציה, מחקר ואכיפה - שוק העבודה",159132,C003613,link,link,"בשנת 2012 היה סעיף משנה תחת סעיף האם 0036
 -hadas.eyal"
2013,C003642,עידוד תעסוקת אוכלוסיות ייעודיות,382758,"C00361440, C00361430, C00361440, C00361401, C00361446, C00361429",link,link,"בשנת 2012 היה סעיף משנה תחת סעיף האם 0036
 -hadas.eyal"
2013,C003702,פיתוח המוצר התיירותי,65392,C003702,link,link,"בשנת 2012 נקרא הסעיף הזה: הכשרת כח אדם ושירותי תיירות בישראל
 -hadas.eyal"
2013,C003706,רזרבה,618,C003706,link,link,
2013,C003840,עידוד המגזר העסקי,2640472,"C003803, C003812, C003819, C003807, C003804",link,link,"בשנת 2012 היה סעיף זה סעיף משנה בסעיף האם 0038 שנקרא: תמיכות בענפי המשק
 -hadas.eyal"
2013,C004054,תחבורה ציבורית,1388,-,link,link,"הרשות לתחבורה ציבורית הוקמה בשנת 2013. מתוך אתר NRG : בישיבת הממשלה שתתקיים היום (11 דצמ' 2011) ותעסוק בהמלצות דוח טרכטנברג יתבקשו השרים לאשר את הקמתה של רשות ארצית לתחבורה ציבורית וכן רשויות מטרופוליניות לתחבורה. המשמעות: הרשות הארצית החדשה תוקם במשרד התחבורה ותהיה אחראית לגיבוש ולניהול המדיניות הארצית בנושא תחבורה ציבורית בישראל, שסומן בדוח טרכטנברג כאחד הנושאים המרכזיים והמצריכים טיפול מצד המדינה. הרשות החדשה אמורה לשמש תחליף לאופן שבו מנוהל כיום כל נושא התחבורה הציבורית במשרד התחבורה ולהתאימו לאופן שבו הוא מנוהל בעולם.
 -hadas.eyal"
2013,C005107,בינוי משרדי ממשלה ובתי משפט,574744,C005101,link,link,"בשנת 2012 סעיף זה היה סעיף משנה תחת סעיף האם דיור ממשלתי (0051)
 -hadas.eyal"
2013,C005410,הרשות להגבלים עסקיים,101702,C005401,link,link,"בשנת 2012 היה סעיף זה סעיף משנה בסעיף האם רשויות פיתוח ׁ(0054)
 -hadas.eyal"
2013,C005411,הרשות להגנת הצרכן      ולסחר הוגן,30446,C005406,link,link,
2013,C007002,בנייה חדשה,5896434,,link,link,"קשה לדעת מאיפה נוצר הסעיף הזה. מספר הסעיף בוטל ב- 1992 וחזר לשימוש ב- 2013. יתכן, אך לא בטוח, שיש קשר לסעיף משרד השיכון 00706702 לשנת 2012 ששמו: תשתיות לבניה חדשה
 -hadas.eyal
 אני חופר בזה קצת, ממצאים עד כה:
 00700214 מ-2013 (בניה כפרית) נראה כמו 00706909 מ-2012.
 נראה כאילו הסעיף החדש מורכב מסעיפים שונים מהשנה הקודמת.
 -Yuval Ehrental
 00700201 (תכנון, פיקוח ומדידות) מ-2013 הוא 00706701 מ-2012.
 -Yuval Ehrental
 זה ייקח שבוע...
 -Yuval Ehrental
 יפה, יפה, אני מבינה שעשית את זה לפי הסכומים כי שמות הסעיפים שונים. יתכן כמובן שסעיפים שונים יקבלו תקציבים זהים בגודלם. צריך להבהיר במלל שהקשר בין הסעיפים הוא השערה בלבד. אם זה חשוב, אפשר לנסות להתקשר למשרד השיכון ולשאול...
 -hadas.eyal
 קישרתי לפי הדמיון בשמות של תתי-הסעיפים. כמובן יכול להיות שיש פה קצת wishful
 thinking.
 -Yuval Ehrental
 אני חושבת שאם אומרים בפירוש שזאת הנחה ולא וודאות, זה בסדר גמור. ואם מישהו ממש יהיה חייב לדעת, הוא ימשיך את הבדיקה מהנקודה הזאת. כמו שאתה המשכת אותי. לא ככה?
 -hadas.eyal"
2013,C007003,פעולות פיתוח במרקם     הותיק,728839,"C00706903, C00706933, C00706904, C00706713, C00706721, C00700305",link,link,"סעיף חדש, נראה שמורכב מתתי-סעיפים משנה קודמת.
 -Yuval Ehrental
 הסעיפים משנה קודמת הם לפי סדר הסעיפים ב-2013.
 -Yuval Ehrental"
2013,C007005,דיור ציבורי,1310858,-,link,link,"מויקיפדיה: חוק הדיור הציבורי (זכויות רכישה), התשנ""ט-1998, נועד לאפשר לדיירי הדיור הציבורי בישראל לרכוש את דירותיהם בהנחה גדולה. החוק נחקק ביוזמת חבר הכנסת רן כהן ממרצ, כששותפים מרכזיים ליוזמה היו הקשת הדמוקרטית המזרחית וסינגור קהילתי. החוק אמור היה להיכנס לתוקף ב-1 בינואר 2001, ותוקפו אמור היה להיות 5 שנים. בפועל, רק ביום 01.01.2013 נכנס החוק לתוקף, זאת משום שחוק ההסדרים משנת 1999 ומהשנים שאחריה דחה שוב ושוב את תחילת תוקף חוק הדיור הציבורי.
 http://he.wikipedia.org/wiki/%D7%97%D7%95%D7%A7_%D7%94%D7%93%D7%99%D7%95%D7%A8_%D7%94%D7%A6%D7%99%D7%91%D7%95%D7%A8%D7%99
 -hadas.eyal"
2013,C007006,פיתוח תשתיות יישובי    ההתנתקות,329992,C007006,link,link,
2013,C007803,ים המלח,335750,C00780110,link,link,"אחד מתת הסעיפים של פיתוח ים המלח מופיע בהקצאה של 0 שח
 -tamar kavalerchik"
2013,C008302,פיתוח משרד האוצר,157004,C0055010716,link,link,
2013,C009450,התיקרויות,400,C009450,link,link,"סעיף רזרבה שעמד על 0
 -tamar kavalerchik"
2013,C009510,הוצאות,84246,C0095,link,link,"בשנה קודמת היה סעיף זה תת סעיף .בסעיף האם נמל חדרה בסעיף זה היה גידול ניכר
 -hadas.eyal"
2013,C009820,"הוצאות כלליות, מטה,    חטיבות ומרחבים",748872,C00980109,link,link,"הקישור מבוסס על כך שבשנת 2012 בתקציב מנהל מקרקעי ישראל מופיע סעיף זה - 00980201 הוצאות כלליות מנהל מקרקעי ישראל. היות שהתקציב הזה קטן בהרבה מסעיף של תקציב 2013 שכולל גם מטה, חטיבות ומרחבים ההנחה היא שהסעיף המקושר הוא אחד מסעיפים רבים שאוחדו. לא נמצאו הסעיפים האחרים.
 -hadas.eyal
 הוספתי את סעיף השכר מתוך תחום פעולה כללי, זה משאיר אותנו עם 160 מליון ש""ח שלא ניתן למצוא
 -Jonathan Leary"
2013,C009821,שמירה וניהול הקרקע,309600,C009802 ,link,link,"הסעיף הזה מן השנה הקודמת (שהוא גדול בהרבה) כנראה בוטל במעבר לתקציב 2013 והמבנה שונה.
 -hadas.eyal"
2013,C009822,עיסקאות,8768168,"C009803, C009806, C009810, ",link,link,"ישנה אי הלימה בין ההוצאה בשנת 2012 ל 2013, בעיקר בגלל סעיף 00982203, ""תמורות היטל השבחה"" אשר עמד על 1 מליארד ש""ח והסעיף המקביל לו ב2013 עומד על חצי מליארד"
2013,C009823,העברות לבעלים,3944000,C009808,link,link,"עד 2012 (כולל) הסעיף נקרא ""תשלומים מיוחדים"".
 -Yuval Ehrental"
2013,C009824,הקרן לשטחים פתוחים,170000,C009811,link,link,"בשנים 2011, 2012, 2013 סעיף תקציבי זה ירד ועלה באופן קיצוני. מ- 55 מיליון ש""ח ב- 2011, ל- 3.39 מיליון ב- 2012, ל- 85 מיליון ש""ח ב- 2013.
 -hadas.eyal"
2013,C009825,רזרבות,8760,"C009807, C009805",link,link,
2013,C009875,רזרבה להכנסות בגין     שיווקים בלתי צפויים    מראש,389800,C009875,link,link,"אותו שם ומספר.
 -Yuval Ehrental"
2014,C000406,השלמת טיפול במפוני     ההתנתקות,470404,C000406,link,link,"השם השתנה.
 -Yuval Ehrental"
2014,C000470,רזרבות,318740,C000470,link,link,
2014,C000553,רזרבה למשרד האוצר,284394,C000553,link,link,
2014,C000856,רזרבה,251498,C000856,link,link,
2014,C000960,רזרבות,98030,C000960,link,link,
2014,C001220,רזרבה,616306,C001220,link,link,
2014,C001890,רזרבות,206930,C001890,link,link,
2014,C002112,רזרבה,527812,C002112,link,link,
2014,C002308,אגף לטיפול באדם עם     מוגבלות שכלית          התפתחותית (פיגור שכלי),3525281,C002308,link,link,"רק השם השתנה.
 -Yuval Ehrental"
2014,C002503,רזרבה,203020,C002503,link,link,
2014,C002904,רזרבות,2670,C002904,link,link,
2014,C003645,רזרבה להתייקרויות      ולמימון פעולות,585218,C003645,link,link,
2014,C003660,מנהלת השירות           האזרחי-לאומי,252498,C000460,link,link,"מנהלת השירות האזרחי-לאומי עברה בתקציב 2014 למשרד הכלכלה, שם מופיע הסעיף. ב-2008-2013 התקציב היה תחת משרד ראש הממשלה.
 -Yuval Ehrental"
2014,C003880,רזרבה,89216,C003880,link,link,"רזרבה שבשנה הקודמת נוצלה במלואה (הקצאה מעודכנת 0) - לפי אדם זה כנראה גורם לסקריפט לסמן את הסעיף. קישרתי לאותו סעיף רזרבה בשנה הקודמת.
 נכון גם ל-9 הסעיפים הבאים ברשימה.
 -Yuval Ehrental"
2014,C004204,רזרבות,122110,C004204,link,link,
2014,C005109,רזרבות,8630,C005109,link,link,
2014,C005311,רזרבה,4326,C005311,link,link,
2014,C006008,רזרבה,106876,C006008,link,link,
2014,C006706,רזרבה,14216,C006706,link,link,
2014,C007334,רזרבות,67736,C007334,link,link,
2014,C007680,רזרבה,2352,C007680,link,link,
2014,C007960,רזרבה,574918,C007960,link,link,
2014,C009874,החזר הכנסות שלא מויינו,2,C009874,link,link,
1993,C00000100,מס הכנסה,25380000,,link,link,
1993,C00000200,מס ערך מוסף על מלכרים,2580000,,link,link,
1993,C00000300,מס שבח,430000,,link,link,
1993,C00000400,מס רכישה,800000,,link,link,
1993,C00000500,מס רכוש,460000,,link,link,
1993,C00000700,מס מעסיקים,380000,,link,link,
1993,C00001100,מכס והיטל על היבוא,1840000,,link,link,
1993,C00001200,"מע""מ לל יבוא בטחוני",17815000,,link,link,
1993,C00001210,"מע""מ עם יבוא בטחוני",812000,,link,link,
1993,C00001300,מס קניה,5340000,,link,link,
1993,C00001500,בלו,520000,,link,link,
1993,C00001800,מס דלק,2550000,,link,link,
1993,C00002000,מס בולים,310000,,link,link,
1993,C00002400,אגרות כלי רכב,520000,,link,link,
1993,C00002500,אגרות ורשיונות אחרים,600000,,link,link,
1993,C00003400,"ריבית במט""ח",205000,,link,link,
1993,C00003500,גביית ריבית,1037000,,link,link,
1993,C00003700,ריבית ממפעלים עסקיים,5200,,link,link,
1993,C00004200,תמלוגים ממפעלים עסקיים,62400,,link,link,
1993,C00004300,תמלוגים מאצרות טבע,37440,,link,link,
1993,C00004400,תמלוגים מחברות ממשלתיות,364000,,link,link,
1993,C00004500,"דיוידנדים מחברות ממשל""ת",239200,,link,link,
1993,C00004600,"החזרות ע""ח תקציב קודם",104000,,link,link,
1993,C00004700,הכנסות משרותים שונים,239200,,link,link,
1993,C00004800,הכנסה מיועדת מעל האומדן,52000,,link,link,
1993,C00004900,רווחי בנק ישראל שמומשו,615000,,link,link,
1993,C00005100,גביית קרן,2482320,,link,link,
1993,C00006300,"הכנסה ממינהל מקר"" ישראל",552150,,link,link,
1993,C00007100,הפרשות יחידות משקיות,50470,,link,link,
1993,C00007200,הפרשות מפעלים עסקיים,14730,,link,link,
1993,C00007500,"הכנסות הון בחו""ל",500000,,link,link,
1993,C00007600,הכנסות הון בארץ,1800000,,link,link,
1993,C00008100,"מל"" מהמוסד לביטוח לאומי",2980000,,link,link,
1993,C00008200,הכנסה מאמיסיות והפקדות,15469497,,link,link,
1993,C00009000,מילווה העצמאות והפיתוח,3037400,,link,link,
1993,C00009020,"מילוות מארה""ב - בטחון",5083900,,link,link,
1993,C00202111,אגף החינוך הדתי,4935,,link,link,
1993,C00202310,קרנות ומענקי השתלמות,260655,,link,link,
1993,C00241385,תחנה לבריאות הנפש אילת,117,,link,link,
1993,C00269701,צער בעלי חיים,400,,link,link,
1993,C00320203,ירקות ופירות,19954,,link,link,
1993,C00320212,פרחים,1937,,link,link,
1993,C00331202,מיקדמות לפיצוי,16114,,link,link,
1993,C00331203,אסונות טבע תקציב מינהלי,8659,,link,link,
1993,C00331204,פיצוי לתשתית פרטית,28498,,link,link,
1993,C00332203,פעולות במימון גורמי חוץ,2241,,link,link,
1993,C00332207,אמרכלות פעולות לחקלאים,6885,,link,link,
1993,C00332402,מכוני מחקר,53355,,link,link,
1993,C00332403,"חוות חקלאיות ומופ""ים",15605,,link,link,
1993,C00332404,"מחקרים במימון קמ""ח",5631,,link,link,
1993,C00332405,מלאי חרום חיטה,202,,link,link,
1993,C00332601,הסדר הקיבוצים,288221,,link,link,
1993,C00332603,השתתפות הממשלה בהסדר,15600,,link,link,
1993,C00332705,מענקים לציוד דיג,323,,link,link,
1993,C00341201,עידוד חסכון באנרגיה,1144,,link,link,
1993,C00341202,רפרנטורה טכנית,543,,link,link,
1993,C00341702,ניטור סייסמי,3072,,link,link,
1993,C00421207,עמלות לבנקים על ביצוע,38334,,link,link,
1993,C00600202,בנית בתי ספר יסודיים,367087,,link,link,
1993,C00600206,תכנון מבני חינוך,10000,,link,link,
1993,C00732001,ניקוז באמצעות רשויות,10000,,link,link,
1993,C00987216,דמי הסכמה,30160,,link,link,
1994,C00110401,רזרבה,1500,,link,link,
1994,C00180304,קליטת עליה ברשויות,65445,,link,link,
1994,C00180308,מים ברשויות המקומיות,13000,,link,link,
1994,C00231209,שירותים לזקן,1150,,link,link,
1994,C00241605,שיקום שכונות,5757,,link,link,
1994,C00390610,שכר,1338,,link,link,
1994,C00670202,"ביה""ח ממשלתיים",15258,,link,link,
1994,C00670301,תכנון,4975,,link,link,
1994,C00670302,סקטור ממשלתי,29171,,link,link,
1994,C00670303,סקטור ציבורי,5100,,link,link,
